<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.11	20:00:00	1858.909	1865.332	1857.497	1858.955	15075	0	0
2022.02.13	20:00:00	1855.638	1861.547	1855.387	1859.560	4307	0	0
2022.02.14	00:00:00	1859.538	1860.652	1852.009	1853.072	14585	0	0
2022.02.14	04:00:00	1853.050	1855.194	1850.562	1854.304	12445	0	0
2022.02.14	08:00:00	1854.334	1858.436	1852.152	1856.382	16428	0	0
2022.02.14	12:00:00	1856.380	1870.941	1851.234	1868.199	34159	0	0
2022.02.14	16:00:00	1868.168	1874.102	1860.267	1868.033	24917	0	0
2022.02.14	20:00:00	1868.065	1873.510	1868.031	1871.048	8144	0	0
2022.02.15	00:00:00	1871.070	1878.904	1870.045	1877.407	11243	0	0
2022.02.15	04:00:00	1877.376	1879.466	1875.058	1875.634	11805	0	0
2022.02.15	08:00:00	1875.646	1877.137	1849.809	1852.446	25302	0	0
2022.02.15	12:00:00	1852.468	1857.119	1844.121	1847.880	32624	0	0
2022.02.15	16:00:00	1847.882	1856.443	1846.431	1854.358	14547	0	0
2022.02.15	20:00:00	1854.388	1856.193	1851.464	1852.964	6785	0	0
2022.02.16	00:00:00	1852.951	1853.144	1850.275	1852.707	9718	0	0
2022.02.16	04:00:00	1852.676	1856.753	1852.206	1855.174	9813	0	0
2022.02.16	08:00:00	1855.178	1859.565	1853.960	1856.399	11716	0	0
2022.02.16	12:00:00	1856.368	1864.625	1851.281	1862.667	22880	0	0
2022.02.16	16:00:00	1862.636	1872.221	1861.418	1870.382	22124	0	0
2022.02.16	20:00:00	1870.413	1872.512	1867.379	1869.906	8679	0	0
2022.02.17	00:00:00	1869.938	1874.653	1867.772	1874.372	12245	0	0
2022.02.17	04:00:00	1874.405	1877.138	1870.255	1876.097	19933	0	0
2022.02.17	08:00:00	1876.062	1892.973	1875.310	1883.598	24734	0	0
2022.02.17	12:00:00	1883.593	1897.438	1882.752	1895.275	34347	0	0
2022.02.17	16:00:00	1895.307	1900.989	1893.058	1899.854	19166	0	0
2022.02.17	20:00:00	1899.888	1900.234	1897.275	1899.944	7369	0	0
2022.02.18	00:00:00	1899.977	1902.395	1888.033	1891.021	14541	0	0
2022.02.18	04:00:00	1891.031	1893.336	1889.518	1891.618	11837	0	0
2022.02.18	08:00:00	1891.650	1895.788	1886.288	1891.165	15181	0	0
2022.02.18	12:00:00	1891.197	1899.974	1889.375	1891.844	26301	0	0
2022.02.18	16:00:00	1891.833	1897.879	1891.207	1895.491	16390	0	0
2022.02.18	20:00:00	1895.459	1899.425	1893.563	1897.807	5782	0	0
2022.02.20	20:00:00	1903.076	1906.406	1900.349	1904.863	3826	0	0
2022.02.21	00:00:00	1904.861	1908.105	1891.299	1896.819	18258	0	0
2022.02.21	04:00:00	1896.788	1897.002	1887.562	1891.622	13829	0	0
2022.02.21	08:00:00	1891.593	1898.628	1891.289	1894.581	13890	0	0
2022.02.21	12:00:00	1894.587	1897.507	1892.349	1895.344	18374	0	0
2022.02.21	16:00:00	1895.322	1905.110	1895.322	1903.362	7123	0	0
2022.02.21	20:00:00	1909.602	1914.018	1907.745	1909.377	7086	0	0
2022.02.22	00:00:00	1909.376	1913.754	1905.196	1908.418	13254	0	0
2022.02.22	04:00:00	1908.423	1913.224	1907.138	1908.568	11661	0	0
2022.02.22	08:00:00	1908.551	1911.690	1891.161	1893.764	21720	0	0
2022.02.22	12:00:00	1893.798	1907.090	1893.725	1897.826	29932	0	0
2022.02.22	16:00:00	1897.845	1905.640	1896.839	1901.540	19009	0	0
2022.02.22	20:00:00	1901.510	1901.610	1897.596	1898.158	7644	0	0
2022.02.23	00:00:00	1898.156	1901.257	1897.816	1899.736	8655	0	0
2022.02.23	04:00:00	1899.737	1899.797	1893.149	1894.815	11318	0	0
2022.02.23	08:00:00	1894.785	1897.625	1889.367	1894.745	15343	0	0
2022.02.23	12:00:00	1894.715	1908.343	1893.519	1907.422	24602	0	0
2022.02.23	16:00:00	1907.428	1910.458	1905.450	1907.120	16268	0	0
2022.02.23	20:00:00	1907.109	1911.524	1904.583	1910.758	8801	0	0
2022.02.24	00:00:00	1910.754	1930.968	1910.075	1928.997	25488	0	0
2022.02.24	04:00:00	1929.027	1948.640	1928.955	1944.927	43223	0	0
2022.02.24	08:00:00	1945.241	1974.331	1938.896	1961.483	41567	0	0
2022.02.24	12:00:00	1961.514	1966.938	1913.204	1928.779	70375	0	0
2022.02.24	16:00:00	1928.812	1930.203	1877.772	1887.688	45534	0	0
2022.02.24	20:00:00	1887.723	1913.563	1880.373	1906.500	22222	0	0
2022.02.25	00:00:00	1906.531	1921.484	1904.330	1914.170	24896	0	0
2022.02.25	04:00:00	1914.171	1921.285	1910.870	1913.226	18439	0	0
2022.02.25	08:00:00	1913.374	1915.722	1892.629	1898.896	28353	0	0
2022.02.25	12:00:00	1898.863	1906.930	1882.823	1889.133	48301	0	0
2022.02.25	16:00:00	1889.157	1890.871	1883.089	1890.564	20583	0	0
2022.02.25	20:00:00	1890.532	1892.830	1886.768	1889.003	6327	0	0
2022.02.27	20:00:00	1920.950	1927.279	1904.347	1910.214	13716	0	0
2022.02.28	00:00:00	1910.181	1919.182	1904.358	1907.415	27365	0	0
2022.02.28	04:00:00	1907.447	1911.856	1893.111	1896.356	23681	0	0
2022.02.28	08:00:00	1896.387	1908.866	1894.812	1905.600	20408	0	0
2022.02.28	12:00:00	1905.601	1918.249	1904.336	1908.209	32491	0	0
2022.02.28	16:00:00	1908.241	1908.343	1890.826	1906.443	27963	0	0
